yourlist:M20191006E5A08BB0B2D1C45B0C7BC3B55FD265564BC80E0	Entry	Protein names
Q8N966	Q8N966	Palmitoyltransferase ZDHHC22 (EC 2.3.1.225) (Zinc finger DHHC domain-containing protein 22) (DHHC-22) (zDHHC22)
Q9NPB3	Q9NPB3	Calcium-binding protein 2 (CaBP2)
Q92914	Q92914	Fibroblast growth factor 11 (FGF-11) (Fibroblast growth factor homologous factor 3) (FHF-3)
Q5MJ09	Q5MJ09	Sperm protein associated with the nucleus on the X chromosome N3 (Nuclear-associated protein SPAN-Xn3) (SPANX-N3) (SPANX family member N3)
O00590	O00590	Atypical chemokine receptor 2 (C-C chemokine receptor D6) (Chemokine receptor CCR-10) (Chemokine receptor CCR-9) (Chemokine-binding protein 2) (Chemokine-binding protein D6)
P56747	P56747	Claudin-6 (Skullin)
Q96HZ4	Q96HZ4	Transcription cofactor HES-6 (C-HAIRY1) (Class B basic helix-loop-helix protein 41) (bHLHb41) (Hairy and enhancer of split 6)
Q5SWW7	Q5SWW7	Uncharacterized protein C10orf55
O00559	O00559	Receptor-binding cancer antigen expressed on SiSo cells (Cancer-associated surface antigen RCAS1) (Estrogen receptor-binding fragment-associated gene 9 protein)
Q9NWW5	Q9NWW5	Ceroid-lipofuscinosis neuronal protein 6 (Protein CLN6)
Q96KS9	Q96KS9	Protein FAM167A
O75128	O75128	Protein cordon-bleu
Q9ULC5	Q9ULC5	Long-chain-fatty-acid--CoA ligase 5 (EC 6.2.1.3) (Arachidonate--CoA ligase) (EC 6.2.1.15) (Long-chain acyl-CoA synthetase 5) (LACS 5)
Q5T619	Q5T619	Zinc finger protein 648
Q96IT6	Q96IT6	Putative uncharacterized protein ARHGAP5-AS1 (ARHGAP5 antisense RNA 1) (ARHGAP5 antisense gene protein 1)
Q9NRX6	Q9NRX6	Protein kish-B (Transmembrane protein 167B)
P59542	P59542	Taste receptor type 2 member 19 (Taste receptor type 2 member 23) (Taste receptor type 2 member 48) (T2R48)
Q9BXR6	Q9BXR6	Complement factor H-related protein 5 (FHR-5)
Q9NPG2	Q9NPG2	Neuroglobin
Q99633	Q99633	Pre-mRNA-splicing factor 18 (PRP18 homolog) (hPRP18)
Q8NH19	Q8NH19	Olfactory receptor 10AG1 (Olfactory receptor OR11-160)
Q6ZUI0	Q6ZUI0	Tumor protein p63-regulated gene 1 protein (Protein FAM79B)
Q15043	Q15043	Zinc transporter ZIP14 (LIV-1 subfamily of ZIP zinc transporter 4) (LZT-Hs4) (Solute carrier family 39 member 14) (Zrt- and Irt-like protein 14) (ZIP-14)
A6H8Z2	A6H8Z2	Protein FAM221B
Q7Z2K6	Q7Z2K6	Endoplasmic reticulum metallopeptidase 1 (EC 3.4.-.-) (Felix-ina)
A0PK05	A0PK05	Transmembrane protein 72 (Kidney-specific secretory protein of 37 kDa)
Q96KT7	Q96KT7	Solute carrier family 35 member G5 (Acyl-malonyl-condensing enzyme 1-like protein 2)
O75360	O75360	Homeobox protein prophet of Pit-1 (PROP-1) (Pituitary-specific homeodomain factor)
O60551	O60551	Glycylpeptide N-tetradecanoyltransferase 2 (EC 2.3.1.97) (Myristoyl-CoA:protein N-myristoyltransferase 2) (NMT 2) (Peptide N-myristoyltransferase 2) (Type II N-myristoyltransferase)
Q96GM1	Q96GM1	Phospholipid phosphatase-related protein type 2 (EC 3.1.3.4) (Lipid phosphate phosphatase-related protein type 2) (Plasticity-related gene 4 protein) (PRG-4)
Q9BZC1	Q9BZC1	CUGBP Elav-like family member 4 (CELF-4) (Bruno-like protein 4) (CUG-BP- and ETR-3-like factor 4) (RNA-binding protein BRUNOL-4)
Q01085	Q01085	Nucleolysin TIAR (TIA-1-related protein)
Q96N21	Q96N21	AP-4 complex accessory subunit Tepsin (ENTH domain-containing protein 2) (Epsin for AP-4) (Tetra-epsin)
P78383	P78383	Solute carrier family 35 member B1 (UDP-galactose transporter-related protein 1) (UGTrel1) (hUGTrel1)
Q8NHW4	Q8NHW4	C-C motif chemokine 4-like (Lymphocyte activation gene 1 protein) (LAG-1) (Macrophage inflammatory protein 1-beta) (MIP-1-beta) (Monocyte adherence-induced protein 5-alpha) (Small-inducible cytokine A4-like)
A0PK11	A0PK11	Clarin-2
P49765	P49765	Vascular endothelial growth factor B (VEGF-B) (VEGF-related factor) (VRF)
Q8N6K4	Q8N6K4	Putative uncharacterized protein MGC34800
Q9C0E8	Q9C0E8	Endoplasmic reticulum junction formation protein lunapark (ER junction formation factor lunapark)
Q3MIN7	Q3MIN7	Ral guanine nucleotide dissociation stimulator-like 3 (RalGDS-like 3)
Q96IK0	Q96IK0	Transmembrane protein 101 (Putative NF-kappa-B-activating protein 130)
Q86VE0	Q86VE0	Myb-related transcription factor, partner of profilin (Myb-related protein p42POP) (Partner of profilin)
Q9GZU5	Q9GZU5	Nyctalopin
Q6ICB4	Q6ICB4	Sesquipedalian-2 (Ses2) (27 kDa inositol polyphosphate phosphatase interacting protein B) (IPIP27B) (PH domain-containing endocytic trafficking adaptor 2)
O00178	O00178	GTP-binding protein 1 (G-protein 1) (GP-1) (GP1)
Q96NS8	Q96NS8	Putative protein CLUHP3 (Clustered mitochondria (cluA/CLU1) homolog pseudogene 3) (KIAA0664-like protein 3)
Q96EZ4	Q96EZ4	Myeloma-overexpressed gene protein (Oncogene in multiple myeloma)
O95388	O95388	WNT1-inducible-signaling pathway protein 1 (WISP-1) (CCN family member 4) (Wnt-1-induced secreted protein)
Q5BKX5	Q5BKX5	UPF0692 protein C19orf54
Q5VUJ9	Q5VUJ9	Dynein regulatory complex protein 8 (EF-hand calcium-binding domain-containing protein 2)
Q13698	Q13698	Voltage-dependent L-type calcium channel subunit alpha-1S (Calcium channel, L type, alpha-1 polypeptide, isoform 3, skeletal muscle) (Voltage-gated calcium channel subunit alpha Cav1.1)
Q2M3D2	Q2M3D2	Exocyst complex component 3-like protein 2 (HBV X-transactivated gene 7 protein) (HBV XAg-transactivated protein 7)
A6ZKI3	A6ZKI3	Retrotransposon Gag-like protein 8C (Mammalian retrotransposon derived protein 8C)
Q52LG2	Q52LG2	Keratin-associated protein 13-2
Q3MIT2	Q3MIT2	Putative tRNA pseudouridine synthase Pus10 (EC 5.4.99.25) (Coiled-coil domain-containing protein 139) (tRNA pseudouridine 55 synthase) (Psi55 synthase) (tRNA pseudouridylate synthase) (tRNA-uridine isomerase)
Q9BYQ0	Q9BYQ0	Keratin-associated protein 9-8 (Keratin-associated protein 9.8) (Ultrahigh sulfur keratin-associated protein 9.8)
Q8N987	Q8N987	N-terminal EF-hand calcium-binding protein 1 (EF-hand calcium-binding protein 1) (Neuronal calcium-binding protein 1)
Q8TE77	Q8TE77	Protein phosphatase Slingshot homolog 3 (EC 3.1.3.16) (EC 3.1.3.48) (SSH-like protein 3) (SSH-3L) (hSSH-3L)
Q9H7X3	Q9H7X3	Zinc finger protein 696
Q96EG3	Q96EG3	Zinc finger protein 837
Q9H400	Q9H400	Lck-interacting transmembrane adapter 1 (Lck-interacting membrane protein) (Lck-interacting molecule)
Q9BRX5	Q9BRX5	DNA replication complex GINS protein PSF3 (GINS complex subunit 3)
P02461	P02461	Collagen alpha-1(III) chain
Q96HA4	Q96HA4	Uncharacterized protein C1orf159
Q7L8S5	Q7L8S5	OTU domain-containing protein 6A (EC 3.4.19.12) (DUBA-2)
O14684	O14684	Prostaglandin E synthase (EC 5.3.99.3) (Microsomal glutathione S-transferase 1-like 1) (MGST1-L1) (Microsomal prostaglandin E synthase 1) (MPGES-1) (p53-induced gene 12 protein)
Q6PI78	Q6PI78	Transmembrane protein 65
Q9BTX3	Q9BTX3	Transmembrane protein 208
Q9BRK0	Q9BRK0	Receptor expression-enhancing protein 2
Q9NVG8	Q9NVG8	TBC1 domain family member 13
Q9BW92	Q9BW92	Threonine--tRNA ligase, mitochondrial (EC 6.1.1.3) (Threonyl-tRNA synthetase) (ThrRS) (Threonyl-tRNA synthetase-like 1)
Q969S6	Q969S6	Transmembrane protein 203
Q6NTF9	Q6NTF9	Rhomboid domain-containing protein 2
P60602	P60602	Reactive oxygen species modulator 1 (ROS modulator 1) (Epididymis tissue protein Li 175) (Glyrichin) (Mitochondrial targeting GxxxG motif protein) (MTGM) (Protein MGR2 homolog)
Q69YL0	Q69YL0	Protein NCBP2AS2 (Hypoxia-induced angiogenesis regulator) (NCBP2 antisense gene protein 2)
Q53QW1	Q53QW1	Testis-expressed protein 44
Q96A11	Q96A11	Galactose-3-O-sulfotransferase 3 (Gal3ST-3) (EC 2.8.2.-) (Beta-galactose-3-O-sulfotransferase 3) (Gal3ST3) (Gal-beta-1, 3-GalNAc 3'-sulfotransferase 3)
Q6AWC8	Q6AWC8	Putative uncharacterized protein LOC100129027
Q9H8L6	Q9H8L6	Multimerin-2 (EMILIN-3) (Elastin microfibril interface located protein 3) (Elastin microfibril interfacer 3) (EndoGlyx-1 p125/p140 subunit)
Q5U4N7	Q5U4N7	Protein GDF5OS, mitochondrial (Growth/differentiation factor 5 opposite strand transcript protein)
Q53H64	Q53H64	Putative ANKRD40 C-terminal-like protein
Q9Y3Q0	Q9Y3Q0	N-acetylated-alpha-linked acidic dipeptidase 2 (EC 3.4.17.21) (Glutamate carboxypeptidase III) (GCPIII) (N-acetylated-alpha-linked acidic dipeptidase II) (NAALADase II)
Q9BXU9	Q9BXU9	Calcium-binding protein 8 (CaBP8) (Calneuron I) (Calneuron-1)
O00526	O00526	Uroplakin-2 (UP2) (Uroplakin II) (UPII)
Q9NQ94	Q9NQ94	APOBEC1 complementation factor (APOBEC1-stimulating protein)
P55347	P55347	Homeobox protein PKNOX1 (Homeobox protein PREP-1) (PBX/knotted homeobox 1)
Q9H1C4	Q9H1C4	Protein unc-93 homolog B1 (Unc-93B1) (hUNC93B1)
Q9Y2E5	Q9Y2E5	Epididymis-specific alpha-mannosidase (EC 3.2.1.24) (Mannosidase alpha class 2B member 2)
P54219	P54219	Chromaffin granule amine transporter (Solute carrier family 18 member 1) (Vesicular amine transporter 1) (VAT1)
Q2M3R5	Q2M3R5	Solute carrier family 35 member G1 (Partner of STIM1) (Transmembrane protein 20)
O95406	O95406	Protein cornichon homolog 1 (CNIH-1) (Cornichon family AMPA receptor auxiliary protein 1) (Protein cornichon homolog) (T-cell growth-associated molecule 77) (TGAM77)
O43451	O43451	Maltase-glucoamylase, intestinal [Includes: Maltase (EC 3.2.1.20) (Alpha-glucosidase); Glucoamylase (EC 3.2.1.3) (Glucan 1,4-alpha-glucosidase)]
Q9NP94	Q9NP94	Zinc transporter ZIP2 (6A1) (Eti-1) (Solute carrier family 39 member 2) (Zrt- and Irt-like protein 2) (ZIP-2) (hZIP2)
O75864	O75864	Protein phosphatase 1 regulatory subunit 37 (Leucine-rich repeat-containing protein 68)
Q9BZJ8	Q9BZJ8	G-protein coupled receptor 61 (Biogenic amine receptor-like G-protein coupled receptor)
Q9H813	Q9H813	Proton-activated chloride channel (PAC) (hPAC) (Transmembrane protein 206)
Q7Z713	Q7Z713	Ankyrin repeat domain-containing protein 37 (Low-density lipoprotein receptor-related protein 2-binding protein) (hLrp2bp)
Q9Y4F3	Q9Y4F3	Meiosis regulator and mRNA stability factor 1 (Limkain-b1) (Meiosis arrest female protein 1)
O94989	O94989	Rho guanine nucleotide exchange factor 15 (Ephexin-5) (E5) (Vsm-RhoGEF)
Q9NT22	Q9NT22	EMILIN-3 (EMILIN-5) (Elastin microfibril interface-located protein 3) (Elastin microfibril interfacer 3) (Elastin microfibril interface-located protein 5) (Elastin microfibril interfacer 5)
P17752	P17752	Tryptophan 5-hydroxylase 1 (EC 1.14.16.4) (Tryptophan 5-monooxygenase 1)
Q14142	Q14142	Tripartite motif-containing protein 14
Q9BSH3	Q9BSH3	Nicolin-1 (NPCEDRG) (Tubulin polyglutamylase complex subunit 5) (PGs5)
Q9BRQ3	Q9BRQ3	Uridine diphosphate glucose pyrophosphatase NUDT22 (UDPG pyrophosphatase) (UGPPase) (EC 3.6.1.45) (Nucleoside diphosphate-linked moiety X motif 22) (Nudix motif 22)
Q9BSE4	Q9BSE4	Homocysteine-responsive endoplasmic reticulum-resident ubiquitin-like domain member 2 protein
Q8NBI2	Q8NBI2	Cytochrome b ascorbate-dependent protein 3 (EC 1.-.-.-) (Cytochrome b561 family member A3) (Lysosomal cytochrome b) (LCytb)
Q5BKT4	Q5BKT4	Dol-P-Glc:Glc(2)Man(9)GlcNAc(2)-PP-Dol alpha-1,2-glucosyltransferase (EC 2.4.1.256) (Alpha-1,2-glucosyltransferase ALG10-A) (Alpha-2-glucosyltransferase ALG10-A) (Asparagine-linked glycosylation protein 10 homolog A)
Q9NYW0	Q9NYW0	Taste receptor type 2 member 10 (T2R10) (Taste receptor family B member 2) (TRB2)
Q8N2I9	Q8N2I9	Serine/threonine-protein kinase 40 (EC 2.7.11.1) (SINK-homologous serine/threonine-protein kinase) (Sugen kinase 495) (SgK495)
Q9BRP7	Q9BRP7	Ferredoxin-fold anticodon-binding domain-containing protein 1 (FDX-ACDB domain-containing protein 1)
Q9XRX5	Q9XRX5	HERV-H LTR-associating protein 3 (Human endogenous retrovirus-H long terminal repeat-associating protein 3)
Q8WTX9	Q8WTX9	Probable palmitoyltransferase ZDHHC1 (EC 2.3.1.225) (DHHC domain-containing cysteine-rich protein 1) (Zinc finger DHHC domain-containing protein 1) (DHHC-1) (Zinc finger protein 377)
Q96C55	Q96C55	Zinc finger protein 524
Q8NFV4	Q8NFV4	Protein ABHD11 (EC 3.-.-.-) (Alpha/beta hydrolase domain-containing protein 11) (Abhydrolase domain-containing protein 11) (Williams-Beuren syndrome chromosomal region 21 protein)
Q86UD0	Q86UD0	Suppressor APC domain-containing protein 2 (Tumor specificity and mitosis phase-dependent expression protein) (TS/MDEP) (p42.3)
Q8N6U2	Q8N6U2	Putative uncharacterized protein encoded by LINC00612
Q96CP7	Q96CP7	TLC domain-containing protein 1 (Calfacilitin)
Q8TD91	Q8TD91	Melanoma-associated antigen C3 (Cancer/testis antigen 7.2) (CT7.2) (Hepatocellular carcinoma-associated antigen 2) (MAGE-C3 antigen)
Q8N9I5	Q8N9I5	Fatty acid desaturase 6 (EC 1.14.19.-)
Q9UK13	Q9UK13	Zinc finger protein 221
Q5J5C9	Q5J5C9	Beta-defensin 121 (Beta-defensin 21) (DEFB-21) (Defensin, beta 121)
Q8N393	Q8N393	Zinc finger protein 786
Q96N58	Q96N58	Zinc finger protein 578
Q05952	Q05952	Nuclear transition protein 2 (TP-2) (TP2)
Q8N7E2	Q8N7E2	E3 ubiquitin-protein ligase CBLL2 (EC 2.3.2.27) (Cbl proto-oncogene-like protein 2) (RING-type E3 ubiquitin transferase ZNF645) (Zinc finger protein 645) (c-Cbl-like protein 2)
O43296	O43296	Zinc finger protein 264
Q96L73	Q96L73	Histone-lysine N-methyltransferase, H3 lysine-36 and H4 lysine-20 specific (EC 2.1.1.43) (Androgen receptor coactivator 267 kDa protein) (Androgen receptor-associated protein of 267 kDa) (H3-K36-HMTase) (H4-K20-HMTase) (Lysine N-methyltransferase 3B) (Nuclear receptor-binding SET domain-containing protein 1) (NR-binding SET domain-containing protein)
A0PJY2	A0PJY2	Fez family zinc finger protein 1 (Zinc finger protein 312B)
A8MV65	A8MV65	Transcription cofactor vestigial-like protein 3 (Vgl-3)
Q8N831	Q8N831	Testis-specific Y-encoded-like protein 6 (TSPY-like protein 6)
Q9Y6M4	Q9Y6M4	Casein kinase I isoform gamma-3 (CKI-gamma 3) (EC 2.7.11.1)
Q969G9	Q969G9	Protein naked cuticle homolog 1 (Naked-1) (hNkd) (hNkd1)
B2RXF5	B2RXF5	Zinc finger and BTB domain-containing protein 42
P17014	P17014	Zinc finger protein 12 (Gonadotropin-inducible ovary transcription repressor 3) (GIOT-3) (Zinc finger protein 325) (Zinc finger protein KOX3)
Q6ZTB9	Q6ZTB9	Putative zinc finger protein 833
Q12950	Q12950	Forkhead box protein D4 (Forkhead-related protein FKHL9) (Forkhead-related transcription factor 5) (FREAC-5) (Myeloid factor-alpha)
Q6PF04	Q6PF04	Zinc finger protein 613
Q8TF76	Q8TF76	Serine/threonine-protein kinase haspin (EC 2.7.11.1) (Germ cell-specific gene 2 protein) (H-haspin) (Haploid germ cell-specific nuclear protein kinase)
Q8N8L2	Q8N8L2	Zinc finger protein 491
Q9NZV7	Q9NZV7	Zinc finger imprinted 2 (Zinc finger protein 656)
Q7Z4V0	Q7Z4V0	Zinc finger protein 438
P18825	P18825	Alpha-2C adrenergic receptor (Alpha-2 adrenergic receptor subtype C4) (Alpha-2C adrenoreceptor) (Alpha-2C adrenoceptor) (Alpha-2CAR)
Q86YT5	Q86YT5	Solute carrier family 13 member 5 (Na(+)/citrate cotransporter) (NaCT) (Sodium-coupled citrate transporter) (Sodium-dependent citrate transporter)
Q9NPR9	Q9NPR9	Protein GPR108 (Lung seven transmembrane receptor 2)
Q96HY7	Q96HY7	Probable 2-oxoglutarate dehydrogenase E1 component DHKTD1, mitochondrial (EC 1.2.4.2) (Dehydrogenase E1 and transketolase domain-containing protein 1)
Q96EF6	Q96EF6	F-box only protein 17 (F-box only protein 26)
Q9H0L4	Q9H0L4	Cleavage stimulation factor subunit 2 tau variant (CF-1 64 kDa subunit tau variant) (Cleavage stimulation factor 64 kDa subunit tau variant) (CSTF 64 kDa subunit tau variant) (TauCstF-64)
P34810	P34810	Macrosialin (Gp110) (CD antigen CD68)
O14771	O14771	Zinc finger protein 213 (Putative transcription factor CR53) (Zinc finger protein with KRAB and SCAN domains 21)
O95833	O95833	Chloride intracellular channel protein 3
Q96E11	Q96E11	Ribosome-recycling factor, mitochondrial (RRF) (Ribosome-releasing factor, mitochondrial)
Q2TAL6	Q2TAL6	Brorin (Brain-specific chordin-like protein) (von Willebrand factor C domain-containing protein 2)
P0CW24	P0CW24	Paraneoplastic antigen-like protein 6A
Q96NM4	Q96NM4	TOX high mobility group box family member 2 (Granulosa cell HMG box protein 1) (GCX-1)
Q8IV45	Q8IV45	UNC5C-like protein (Protein unc-5 homolog C-like) (ZU5 and death domain-containing protein)
Q96FH0	Q96FH0	BLOC-1-related complex subunit 8 (MEF2B neighbor)
P43080	P43080	Guanylyl cyclase-activating protein 1 (GCAP 1) (Guanylate cyclase activator 1A)
Q86UP9	Q86UP9	LHFPL tetraspan subfamily member 3 protein (Lipoma HMGIC fusion partner-like 3 protein)
Q8N5J4	Q8N5J4	Transcription factor Spi-C
O95807	O95807	Transmembrane protein 50A (Small membrane protein 1)
Q3LI76	Q3LI76	Keratin-associated protein 15-1
Q96HV5	Q96HV5	Transmembrane protein 41A
P61421	P61421	V-type proton ATPase subunit d 1 (V-ATPase subunit d 1) (32 kDa accessory protein) (V-ATPase 40 kDa accessory protein) (V-ATPase AC39 subunit) (p39) (Vacuolar proton pump subunit d 1)
Q9BXU8	Q9BXU8	Ferritin heavy polypeptide-like 17 (Cancer/testis antigen 38) (CT38)
Q9NZH5	Q9NZH5	Securin-2 (Pituitary tumor-transforming gene 2 protein)
P57054	P57054	Phosphatidylinositol N-acetylglucosaminyltransferase subunit P (EC 2.4.1.198) (Down syndrome critical region protein 5) (Down syndrome critical region protein C) (Phosphatidylinositol-glycan biosynthesis class P protein) (PIG-P)
P34130	P34130	Neurotrophin-4 (NT-4) (Neurotrophin-5) (NT-5) (Neutrophic factor 4)
P78412	P78412	Iroquois-class homeodomain protein IRX-6 (Homeodomain protein IRXB3) (Iroquois homeobox protein 6)
Q5T4B2	Q5T4B2	Inactive glycosyltransferase 25 family member 3 (Cerebral endothelial cell adhesion molecule)
Q96ER9	Q96ER9	Coiled-coil domain-containing protein 51
Q6GPH4	Q6GPH4	XIAP-associated factor 1 (BIRC4-binding protein)
Q8NC01	Q8NC01	C-type lectin domain family 1 member A (C-type lectin-like receptor 1) (CLEC-1)
Q8TDT2	Q8TDT2	Probable G-protein coupled receptor 152 (G-protein coupled receptor PGR5)
P56557	P56557	Transmembrane protein 50B (HCV p7-trans-regulated protein 3)
Q96L46	Q96L46	Calpain small subunit 2 (CSS2) (Calcium-dependent protease small subunit 2)
P02655	P02655	Apolipoprotein C-II (Apo-CII) (ApoC-II) (Apolipoprotein C2) [Cleaved into: Proapolipoprotein C-II (ProapoC-II)]
P04553	P04553	Sperm protamine P1 (Cysteine-rich protamine)
B2RXH8	B2RXH8	Heterogeneous nuclear ribonucleoprotein C-like 2 (hnRNP C-like-2)
P42830	P42830	C-X-C motif chemokine 5 (ENA-78(1-78)) (Epithelial-derived neutrophil-activating protein 78) (Neutrophil-activating peptide ENA-78) (Small-inducible cytokine B5) [Cleaved into: ENA-78(8-78); ENA-78(9-78)]
B2RUY7	B2RUY7	von Willebrand factor C domain-containing protein 2-like (Brorin-like)
Q9UIA0	Q9UIA0	Cytohesin-4 (PH, SEC7 and coiled-coil domain-containing protein 4)
P04279	P04279	Semenogelin-1 (Cancer/testis antigen 103) (Semenogelin I) (SGI) [Cleaved into: Alpha-inhibin-92; Alpha-inhibin-31; Seminal basic protein]
P34910	P34910	Protein EVI2B (Ecotropic viral integration site 2B protein homolog) (EVI-2B) (CD antigen CD361)
Q96HJ3	Q96HJ3	Coiled-coil domain-containing protein 34 (Renal carcinoma antigen NY-REN-41)
Q6UXT9	Q6UXT9	Protein ABHD15 (EC 3.1.1.-) (Alpha/beta hydrolase domain-containing protein 15) (Abhydrolase domain-containing protein 15)
Q96HJ5	Q96HJ5	Membrane-spanning 4-domains subfamily A member 3 (CD20 antigen-like protein) (Hematopoietic-specific transmembrane protein 4) (HTm4)
Q8N8Y5	Q8N8Y5	Zinc finger protein 41 homolog (Zfp-41)
Q16617	Q16617	Protein NKG7 (G-CSF-induced gene 1 protein) (GIG-1 protein) (Granule membrane protein of 17 kDa) (GMP-17) (Natural killer cell protein 7) (p15-TIA-1)
Q96CE8	Q96CE8	Transmembrane 4 L6 family member 18
Q96SZ5	Q96SZ5	2-aminoethanethiol dioxygenase (EC 1.13.11.19) (Cysteamine dioxygenase)
Q8N4U5	Q8N4U5	T-complex protein 11-like protein 2
P46020	P46020	Phosphorylase b kinase regulatory subunit alpha, skeletal muscle isoform (Phosphorylase kinase alpha M subunit)
O95340	O95340	Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 2 (PAPS synthase 2) (PAPSS 2) (Sulfurylase kinase 2) (SK 2) (SK2) [Includes: Sulfate adenylyltransferase (EC 2.7.7.4) (ATP-sulfurylase) (Sulfate adenylate transferase) (SAT); Adenylyl-sulfate kinase (EC 2.7.1.25) (3'-phosphoadenosine-5'-phosphosulfate synthase) (APS kinase) (Adenosine-5'-phosphosulfate 3'-phosphotransferase) (Adenylylsulfate 3'-phosphotransferase)]
Q96S97	Q96S97	Myeloid-associated differentiation marker (Protein SB135)
Q99567	Q99567	Nuclear pore complex protein Nup88 (88 kDa nucleoporin) (Nucleoporin Nup88)
O75127	O75127	Pentatricopeptide repeat-containing protein 1, mitochondrial
Q9ULD5	Q9ULD5	Zinc finger protein 777
O75145	O75145	Liprin-alpha-3 (Protein tyrosine phosphatase receptor type f polypeptide-interacting protein alpha-3) (PTPRF-interacting protein alpha-3)
Q2M329	Q2M329	Coiled-coil domain-containing protein 96
